기업명,RIM기업가치,매출액증가율,순이익증가율,유동비율,순운전자본비율,부채비율,자기자본비율,매출총이익률,ROA,ROI,총자산회전율
호전실업,3525.997528,0.391707741,1.271186441,1.315327481,0.147738058,1.332841328,0.428661816,0.035416667,0.128440367,0.084783296,1.518506802
빙그레,3224.195303,0.104845738,-2.331606218,2.068897638,0.211750942,0.336054185,0.748472637,0.063974126,0.051215391,0.033406993,1.647861692
풀무원,-2155.783684,0.126801382,-124.3333333,0.842724319,-0.068514542,2.74899378,0.266738239,0.06412289,0.012834277,-0.018055827,1.385077103
아모레G,7758.304079,-0.156042883,-0.489041096,3.01256016,0.224088354,0.171041555,0.853940661,0.156084538,0.035537838,0.019500719,0.587504901
화승엔터프라이즈,-1235.555006,0.452661163,0.102941176,0.973396736,-0.014026291,1.496278755,0.400596287,0.018863362,0.035777206,-0.005081989,1.120748069
한세실업,11352.79357,0.318660287,0.27191679,1.244440864,0.122417689,1.307205362,0.43342479,0.032610668,0.144932214,0.069076824,1.779212395
더네이쳐홀딩스,9599.978986,0.344585471,0.188679245,1.720930233,0.147593017,0.774960876,0.5633927,0.679654549,0.160112855,0.12220067,0.877975666
CJ프레시웨이,6745.728059,0.199135899,0.678456592,0.847159377,-0.081902068,2.674338035,0.272176197,0.046511628,0.065871893,0.035158618,1.850676904
동원F&B,11798.56613,0.152695812,0.30647482,1.234475375,0.095139258,1.344082372,0.426606169,0.058927329,0.062122894,0.04382874,1.942173095
제이에스코퍼레이션,8921.636588,-0.012056738,0.33747412,1.327674024,0.144623454,1.089236791,0.478643687,0.029227772,0.152678906,0.121019108,1.826714125
에스제이그룹,3952.410383,0.321977288,0.254310345,3.35483871,0.371501272,0.536356529,0.650890585,0.732187974,0.182188295,0.148091603,1.007124682
영원무역,93236.8356,0.400537153,1.223152857,3.42943965,0.442817263,0.449314453,0.68998139,0.073127077,0.182337823,0.164657923,0.866492379
휠라홀딩스,45720.37824,0.112756985,0.383955003,2.098746225,0.248994152,0.872834615,0.533949977,0.131910559,0.090236011,0.096955494,0.875565142
F&F홀딩스,16833.09765,1.49869344,-0.791346058,1.212089988,0.034352313,0.24440983,0.80359378,0.190279613,0.135239632,0.116158104,0.50535451
노바렉스,2789.253399,0.010401722,-0.243346008,1.786206897,0.210643016,0.491730981,0.670362158,0.031948882,0.093126386,0.073540281,1.041019956
콜마비앤에이치,5108.113721,-0.029000169,-0.409356725,1.558365759,0.139568812,0.53190961,0.652780029,0.03733287,0.099043605,0.065488734,0.933538661
롯데웰푸드,7229.644005,0.49310152,0.209366391,1.573119097,0.128589872,0.944118204,0.514359487,0.074766647,0.027379241,0.010693494,0.780284023
오리온,51991.45365,0.219783485,0.510428517,2.643653362,0.271139188,0.277546226,0.782750541,0.087115411,0.138416822,0.11813032,0.852151734
신세계푸드,-675.1878863,0.061686602,-3.25,1.062912866,0.022126341,2.094830537,0.323155216,0.036420322,0.022790132,-0.005974112,1.561345282
대상,10584.27812,0.176974063,-0.433103448,1.725832331,0.226882327,1.41206714,0.414582158,0.056952572,0.043884396,0.02576641,1.280201868
오뚜기,37136.31026,0.162212486,1.142307692,1.215615517,0.073645582,0.83296534,0.54554877,0.045581629,0.052019721,0.078015575,0.891730629
LG생활건강,29105.45488,-0.111932275,-0.700034839,1.964568283,0.153582823,0.335375219,0.748853195,0.125914999,0.097372277,0.035369511,0.983965274
